1;CENTRO (Cortês);47
2;ZONA RURAL (Cortês);47
3;CENTRO;60
4;PAU AMARELO;8
5;ALAMEDA PAULISTA;8
6;JAGUARANA;8
7;NOSSA SENHORA DO Ó;8
8;LOTEAMENTO CONCEIÇÃO;8
9;JARDIM MARANGUAPE;8
10;AGROVILLA LIBERAL;77
11;BAIRRO NOVO;77
12;BARRA DE LAMA;77
13;CENTRO;77
14;COHAB;77
15;CRUZEIRO;77
16;ENGENHO A2;77
17;ENGENHO AGUAS CLARAS;77
18;ENGENHO ALMECEGA;77
19;CENTRO;1
20;ENGENHO ARACAJU;77
21;ENGENHO ARRANCA;77
22;ENGENHO AVELOZ;77
23;ENGENHO BADALEJO;77
24;ENGENHO BARRA DE CARAÇUIPE;77
25;ENGENHO BARRAGEM;77
26;ENGENHO BEIJA FLOR;77
27;SANTO ANTONIO;1
28;ENGENHO BELA ROSA;77
29;ENGENHO BELAMENTE;77
30;ENGENHO BOA SORTE;77
31;ENGENHO BOM CONSELHO;77
32;ENGENHO BOM FIM;77
33;ENGENHO BOM JESUS;77
34;ENGENHO BOM SUCESSO;77
35;SAO JOSE;1
36;ENGENHO CABADÁ;77
37;ENGENHO CACHOEIRA DANTAS;77
38;ENGENHO CACHOEIRA DOS MORCEGOS;77
39;ENGENHO CAMPINAS;77
40;ENGENHO CAMURIZINHO;77
41;ENGENHO CANOA RACHADA;77
42;ENGENHO CANOINHA;77
43;ILHA JOANA BEZERRA;1
44;ENGENHO CAVADA;77
45;ENGENHO CHAPEU DE COURO;77
46;ENGENHO CONSELHO;77
47;ENGENHO CONSTITUINTE;77
48;ENGENHO CORRIENTE;77
49;ENGENHO CORUJA;77
50;ENGENHO CRUZ DE MALTA;77
51;CABANGA;1
52;ENGENHO CAMURIM;77
53;ENGENHO CUMBRE;77
54;ENGENHO CUMBRE DE CIMA;77
55;ENGENHO DOIS BRAÇOS;77
56;ENGENHO ELDORADO;76
57;ENGENHO ESPERANÇA;77
58;ENGENHO ESPIRITO SANTO;77
59;ENGENHO FLOR DE MARIA;77
60;COELHOS;1
61;ENGENHO FLORENTE;77
62;ENGENHO FLORESCENTE;77
63;ENGENHO GABINETE;77
64;ENGENHO GRAVATÁ;77
65;ENGENHO GUARANI;77
66;ENGENHO ILHA GRANDE;77
